"subdistrict.Rongkop.BS_ID_ST13.3403050012003B.1","subdistrict.Rongkop.BS_ID_ST13.3403050012003B.2"
110.718866830974,-8.13324440805569
110.719926622078,-8.13397045579216
110.723532242901,-8.13720333139684
110.72380234814,-8.13983558219291
110.725273742732,-8.14101964050345
110.725278417618,-8.14102576891103
110.72968044371,-8.13832573553151
110.72982044371,-8.13820573553154
110.729925584498,-8.13805111677311
110.72999044371,-8.13795573553156
110.73006044371,-8.13759573553153
110.73008044371,-8.13727573553159
110.730086660771,-8.1371871650781
110.73011044371,-8.13684573553154
110.73022044371,-8.13631573553158
110.73044044371,-8.13593573553157
110.73068044371,-8.13570573553155
110.73081044371,-8.13561573553157
110.73113044371,-8.13547573553152
110.73131044371,-8.13540573553159
110.73178044371,-8.13525573553153
110.73200044371,-8.13506573553152
110.73215044371,-8.13486573553159
110.73224044371,-8.13461573553151
110.73230044371,-8.13432573553157
110.73235044371,-8.13400573553149
110.73245044371,-8.13355573553154
110.73300044371,-8.13188573553149
110.73326044371,-8.13154573553151
110.73349044371,-8.13137573553157
110.73381044371,-8.13132573553151
110.73403044371,-8.13136573553154
110.73439044371,-8.13140573553157
110.73479044371,-8.13143573553156
110.73504044371,-8.1314757355315
110.73533044371,-8.13138573553152
110.73557044371,-8.13125573553151
110.73590044371,-8.13115573553157
110.73614044371,-8.13116573553151
110.73636044371,-8.13116573553152
110.736736833958,-8.13096058523171
110.736742776146,-8.13095734646128
110.736706568026,-8.13094821321456
110.736236568026,-8.13055821321453
110.735676568026,-8.13004821321453
110.735366568026,-8.1297582132145
110.734076568026,-8.12819821321458
110.733126568026,-8.12699821321449
110.732536568026,-8.12618821321453
110.731743163114,-8.12527625381423
110.729366194318,-8.12740000357336
110.725157284174,-8.13116044630573
110.724110010585,-8.13340018067959
110.720087627987,-8.13328068345906
110.718866830974,-8.13324440805569
